id,x,y,ra,dec,r2,flag,u,g,r,i,z,uerr,gerr,rerr,ierr,zerr,e(b-v),u(SExflag),g(SExflag),r(SExflag),i(SExflag),zflag
16800,13980.14,1233.1,34.2766501,-5.5695766,5.71,8,15.7166,15.857,14.9719,15.5763,14.6728,4.0E-4,2.0E-4,2.0E-4,3.0E-4,3.0E-4,0.023,0,0,0,0,-32768
23180,13434.5,1922.2,34.3049852,-5.5339856,8.25,8,15.0814,14.6053,14.0984,14.1087,13.7354,2.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,0.023,0,0,0,0,-32768
31391,4518.78,2413.46,34.7677628,-5.5085768,7.48,8,16.0137,15.0564,14.5435,14.5226,14.0443,4.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0212,0,0,0,0,-32768
33058,5326.36,2627.73,34.7258419,-5.497524,9.3,8,16.1288,14.8856,14.2221,14.2168,13.8144,4.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0214,0,0,0,0,-32768
36031,293.92,2716.92,34.9870334,-5.4927613,5.71,8,15.6076,15.2499,14.8334,14.9135,14.4314,4.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0224,2,2,2,3,-32768
36151,18591.95,2806.83,34.0373177,-5.4881353,7.29,8,16.2365,15.7651,14.6757,15.3887,14.8745,5.0E-4,2.0E-4,2.0E-4,3.0E-4,4.0E-4,0.0221,0,0,0,0,-32768
38785,10023.57,3062.92,34.4820383,-5.4750823,6.58,8,16.0857,16.0668,14.985,15.8667,15.0758,5.0E-4,2.0E-4,2.0E-4,3.0E-4,3.0E-4,0.0227,3,3,3,3,-32768
38940,15608.01,3039.72,34.1921936,-5.4762026,5.76,8,15.2674,15.0096,14.7268,15.0292,14.3584,3.0E-4,1.0E-4,2.0E-4,2.0E-4,2.0E-4,0.021,0,0,1,1,-32768
46431,630.84,3768.93,34.9695071,-5.4384251,7.67,8,14.5713,14.3336,14.2248,14.4192,14.0837,2.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0237,0,0,0,0,-32768
47168,10806.4,3776.11,34.4414107,-5.438233,8.09,8,15.2109,14.7378,14.2214,14.5471,13.8505,3.0E-4,2.0E-4,1.0E-4,2.0E-4,2.0E-4,0.0234,0,0,0,0,-32768
51733,16450.09,4446.94,34.1485295,-5.4034756,10.14,8,16.4712,15.5451,14.3693,15.2164,14.3785,6.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0196,3,3,3,3,-32768
76819,16123.06,6253.24,34.1655496,-5.310163,6.58,8,17.4837,15.7952,14.8889,14.7345,13.8953,8.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0202,3,3,3,3,-32768
82629,9442.49,6528.44,34.5121942,-5.2960339,48.94,8,23.5575,16.1286,14.7551,14.4643,16.6862,0.1112,3.0E-4,2.0E-4,2.0E-4,0.0018,0.0217,19,3,3,3,-32768
83887,6291.64,6914.76,34.6756796,-5.2760501,5.83,8,15.7711,15.1937,14.7766,14.9662,14.3502,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0208,2,2,2,3,-32768
84007,14119.29,6781.27,34.2695304,-5.2829289,5.21,8,15.8941,15.311,14.8483,15.2194,14.525,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0219,2,2,2,3,-32768
85239,15376.71,7112.37,34.2042961,-5.2657951,7.31,8,14.9302,14.5396,14.1727,14.5405,13.8367,2.0E-4,1.0E-4,1.0E-4,2.0E-4,2.0E-4,0.0213,0,0,0,0,-32768
98681,15660.36,8319.83,34.1896097,-5.2034036,8.44,8,15.0672,14.55,14.1316,14.3809,13.8192,2.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0218,2,2,2,2,-32768
102639,8825.36,8354.46,34.5442091,-5.2016889,5.41,8,15.5663,15.3069,14.9104,15.1721,14.468,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0203,0,0,0,0,-32768
103698,2913.23,8502.83,34.8509238,-5.1939277,603.5,8,99.0,16.5118,14.8562,13.6081,15.2511,99.0,7.0E-4,3.0E-4,1.0E-4,0.0012,0.0222,19,19,19,19,-32768
104406,5122.39,8661.96,34.7363134,-5.1857592,8.43,8,14.9338,14.5058,14.2633,14.4015,13.968,2.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0209,0,0,0,0,-32768
106025,1373.38,8561.78,34.9308048,-5.1908328,9.49,8,14.8918,14.4713,14.0492,14.138,13.7132,2.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,0.0222,3,3,3,3,-32768
106887,1341.05,8523.41,34.9324833,-5.1928142,7.51,8,15.3482,14.956,14.4325,14.474,13.9387,3.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0222,3,3,3,3,-32768
113963,12761.99,9164.05,34.3399867,-5.1598416,5.97,8,16.8513,15.5454,14.7056,15.0447,14.2572,6.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0232,2,2,2,2,-32768
114501,9586.18,9375.28,34.5047375,-5.148948,6.46,8,15.0973,14.7916,14.2885,14.8391,14.1492,2.0E-4,2.0E-4,1.0E-4,2.0E-4,2.0E-4,0.0201,2,2,2,2,-32768
126692,7897.61,10245.93,34.592327,-5.1039577,21.96,8,17.1572,15.5931,14.9504,14.5253,14.3264,0.0012,3.0E-4,2.0E-4,2.0E-4,4.0E-4,0.0209,2,2,2,2,-32768
128367,7668.5,10192.12,34.6042117,-5.106736,4.78,8,15.8046,15.3446,14.8991,15.3157,14.5341,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0208,2,2,2,2,-32768
128757,19163.4,10388.56,34.0079618,-5.0964086,9.19,8,16.7621,15.0506,14.2284,13.9503,13.3685,6.0E-4,2.0E-4,2.0E-4,1.0E-4,1.0E-4,0.0211,0,0,0,1,-32768
128851,2677.34,10350.12,34.8631067,-5.0984795,5.91,8,15.9516,15.3244,14.8533,14.9608,14.3497,4.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.021,0,0,0,1,-32768
128852,10956.29,10391.28,34.433667,-5.0964515,5.67,8,15.3306,15.0226,14.6225,15.0488,14.2044,3.0E-4,1.0E-4,2.0E-4,2.0E-4,2.0E-4,0.021,0,0,0,0,-32768
135884,13112.49,10943.11,34.3218299,-5.0679189,7.14,8,20.2448,15.4736,14.8837,15.5197,14.7523,0.0039,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0218,3,3,3,3,-32768
139192,15272.76,11091.52,34.2097832,-5.0602109,7.59,8,14.7819,14.5372,14.2096,14.5348,13.8997,2.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0221,2,2,2,2,-32768
141330,15696.56,11468.67,34.1878114,-5.0407153,8.42,8,14.8106,14.4136,14.0787,14.3854,13.8619,2.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,0.0218,0,0,0,0,-32768
149708,14476.83,11866.59,34.2510818,-5.0201834,5.47,8,15.9157,15.3028,14.8699,15.1839,14.3934,4.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0212,0,0,0,0,-32768
155586,18330.34,12256.27,34.0512392,-4.9999448,4.84,8,16.2437,15.3709,14.8287,15.1335,14.3329,4.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0216,0,0,0,1,-32768
155686,12447.77,12464.04,34.3563255,-4.9893466,7.02,8,15.048,14.6456,14.3146,14.6623,13.9977,3.0E-4,1.0E-4,1.0E-4,2.0E-4,2.0E-4,0.0204,2,3,3,3,-32768
158777,8219.19,12397.61,34.575633,-4.9927901,26.3,8,21.056,14.1032,14.1539,15.0495,15.3779,0.0125,1.0E-4,2.0E-4,2.0E-4,6.0E-4,0.022,3,3,3,3,-32768
159995,15390.36,12837.27,34.2037254,-4.9700126,7.72,8,14.9485,14.5771,14.1274,14.4768,13.8307,2.0E-4,1.0E-4,1.0E-4,2.0E-4,2.0E-4,0.0209,0,0,0,0,-32768
161418,16214.3,12691.65,34.160992,-4.9775157,4.66,8,15.2865,15.1924,14.9928,15.3976,14.6194,3.0E-4,1.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0211,0,0,0,1,-32768
163321,6329.63,13199.43,34.6736199,-4.9513447,20.72,8,15.0836,13.8517,14.4553,12.6088,12.3262,3.0E-4,1.0E-4,2.0E-4,1.0E-4,1.0E-4,0.0205,2,2,2,2,-32768
