CATAID,COSMOS_ID_06,COSMOS_ID_08,COSMOS_ID_13,RA,DEC,r_mag
6193873,0,797211.0,121290.0,150.044402252243,2.08316136219272,14.594302354153264
6193865,1283927,797757.0,120241.0,149.982506339447,2.08241881272805,14.59749759084196
6193468,1280895,795458.0,126651.0,150.016388809929,2.09739930342537,14.696905330278888
6193063,0,792276.0,130445.0,150.010266786222,2.11602985072768,14.055501967564176
6192687,0,815977.0,133499.0,149.979932291109,2.1246892716045,14.257802808517283
6190755,0,780478.0,106234.0,150.135248311051,2.02783055592551,14.644384305739848
6190383,0,778282.0,109743.0,150.212531829065,2.04341330533444,14.622904257524176
6190053,0,776383.0,115516.0,150.159520375817,2.05487587796799,14.919248731505142
6189337,0,774704.0,116192.0,150.091751044661,2.07084919737208,14.293925892178464
6189246,1246397,773324.0,120966.0,150.076428953576,2.07480508446593,14.895360093527117
6189082,1245061,772619.0,122359.0,150.174860156842,2.07978352522719,14.733502492534498
6188743,0,770978.0,124473.0,150.104867344865,2.09024398962697,14.516072349156154
6188739,0,771829.0,122960.0,150.105194126263,2.08565389770356,14.670387276597175
6188575,0,769171.0,126916.0,150.112212003448,2.1006400872636,14.209389845977093
6188355,1239441,769630.0,127834.0,150.064150724798,2.10149356720794,14.711474601106644
6188353,1239439,769343.0,128992.0,150.062736239599,2.1040592397053,14.775943164943293
6188306,1239250,769967.0,127737.0,150.224793820954,2.09975413083722,14.748755348093546
6188304,1239246,769077.0,127228.0,150.220312091455,2.10448681052491,14.271524213274262
6187971,1236551,767779.0,132003.0,150.137046942416,2.11471011949752,14.774426472840155
6187814,1235377,766496.0,135119.0,150.183966534576,2.12268710828349,14.870324833854646
6185053,1215722,752970.0,111536.0,150.284768187117,2.04204267646481,14.907925047002408
6184802,1213525,752753.0,110092.0,150.299425667381,2.04751576557161,14.205253531213131
6183851,1206594,747461.0,122460.0,150.26067964398,2.08108708598442,14.838777450055453
6183029,1199234,742599.0,130731.0,150.378072826088,2.11261033513209,14.670355949373999
6182932,0,742376.0,130975.0,150.256480080782,2.11475936803847,14.534726351174363
